,ID,RA,DEC,z,z_Err,flag,source,comments,totobs,totexp
0,b'020086348',36.679513,-4.821022,0.397,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
1,b'020086397',36.438775,-4.820333,1.171,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
2,b'020086471',36.501929,-4.820717,1.346,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
3,b'020086611',36.473296,-4.820804,0.889,-9.999,b'4',b'VVDS_DEEP',b'-',-9,-9
4,b'020086792',36.315767,-4.81952,0.839,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
5,b'020086859',36.623406,-4.82067,1.192,-9.999,b'13',b'VVDS_DEEP',b'-',-9,-9
6,b'020087083',36.581291,-4.818957,0.803,-9.999,b'4',b'VVDS_DEEP',b'-',-9,-9
7,b'020087197',36.725157,-4.819309,0.0,-9.999,b'4',b'VVDS_DEEP',b'-',-9,-9
8,b'020087292',36.314014,-4.819133,0.728,-9.999,b'4',b'VVDS_DEEP',b'-',-9,-9
9,b'020087557',36.38123,-4.81851,0.877,-9.999,b'4',b'VVDS_DEEP',b'-',-9,-9
10,b'020087604',36.818696,-4.819889,0.0,-9.999,b'4',b'VVDS_DEEP',b'-',-9,-9
11,b'020087755',36.656639,-4.817402,0.802,-9.999,b'4',b'VVDS_DEEP',b'-',-9,-9
12,b'020088164',36.460314,-4.816478,0.54,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
13,b'020088203',36.350475,-4.816631,0.734,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
14,b'020088592',36.578737,-4.815697,0.696,-9.999,b'4',b'VVDS_DEEP',b'-',-9,-9
15,b'020088969',36.276392,-4.814207,1.112,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
16,b'020089020',36.652396,-4.814386,0.519,-9.999,b'4',b'VVDS_DEEP',b'-',-9,-9
17,b'020089022',36.792946,-4.814779,0.484,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
18,b'020089071',36.479442,-4.814584,0.678,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
19,b'020089358',36.529688,-4.813785,1.183,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
20,b'020089474',36.458085,-4.812981,0.819,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
21,b'020089640',36.821519,-4.812905,1.178,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
22,b'020090500',36.521794,-4.813133,0.0,-9.999,b'4',b'VVDS_DEEP',b'-',-9,-9
23,b'020090562',36.643921,-4.812564,0.0,-9.999,b'4',b'VVDS_DEEP',b'-',-9,-9
24,b'020090851',36.650224,-4.810762,0.0,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
25,b'020090963',36.558442,-4.80972,0.638,-9.999,b'4',b'VVDS_DEEP',b'-',-9,-9
26,b'020091227',36.806382,-4.80959,0.445,-9.999,b'4',b'VVDS_DEEP',b'-',-9,-9
27,b'020091279',36.483959,-4.809221,0.642,-9.999,b'4',b'VVDS_DEEP',b'-',-9,-9
28,b'020091402',36.752512,-4.808807,0.0,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
29,b'020091468',36.848117,-4.80825,0.963,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
30,b'020091559',36.537085,-4.809693,0.0,-9.999,b'4',b'VVDS_DEEP',b'-',-9,-9
31,b'020091636',36.583484,-4.80834,0.308,-9.999,b'4',b'VVDS_DEEP',b'-',-9,-9
32,b'020091658',36.422637,-4.808759,0.0,-9.999,b'4',b'VVDS_DEEP',b'-',-9,-9
33,b'020091750',36.360456,-4.807658,1.114,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
34,b'020091835',36.347992,-4.808219,1.19,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
35,b'020092215',36.544618,-4.806576,0.405,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
36,b'020092360',36.648266,-4.807092,0.537,-9.999,b'4',b'VVDS_DEEP',b'-',-9,-9
37,b'020092408',36.435891,-4.806286,0.654,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
38,b'020092542',36.339198,-4.808578,0.0,-9.999,b'4',b'VVDS_DEEP',b'-',-9,-9
39,b'020092844',36.288595,-4.80497,0.832,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
40,b'020092923',36.548524,-4.804867,0.736,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
41,b'020092984',36.455594,-4.804912,0.889,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
42,b'020093151',36.654371,-4.80614,0.0,-9.999,b'4',b'VVDS_DEEP',b'-',-9,-9
43,b'020093287',36.739411,-4.806131,0.0,-9.999,b'4',b'VVDS_DEEP',b'-',-9,-9
44,b'020093316',36.627073,-4.803462,0.772,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
45,b'020093389',36.700363,-4.803843,0.638,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
46,b'020093413',36.576415,-4.804175,0.0,-9.999,b'4',b'VVDS_DEEP',b'-',-9,-9
47,b'020093512',36.371529,-4.805661,0.0,-9.999,b'4',b'VVDS_DEEP',b'-',-9,-9
48,b'020093585',36.465659,-4.803281,0.754,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
49,b'020093759',36.352779,-4.802684,1.113,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
50,b'020093796',36.509888,-4.805418,0.0,-9.999,b'4',b'VVDS_DEEP',b'-',-9,-9
51,b'020094243',36.486378,-4.803936,0.0,-9.999,b'4',b'VVDS_DEEP',b'-',-9,-9
52,b'020094710',36.395196,-4.800275,0.85,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
53,b'020094711',36.455268,-4.800244,1.197,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
54,b'020094754',36.372045,-4.80082,0.439,-9.999,b'4',b'VVDS_DEEP',b'-',-9,-9
55,b'020094835',36.426876,-4.800104,0.642,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
56,b'020094963',36.508203,-4.799984,0.803,-9.999,b'4',b'VVDS_DEEP',b'-',-9,-9
57,b'020095302',36.463584,-4.799443,0.881,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
58,b'020095390',36.497845,-4.799783,0.502,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
59,b'020096032',36.430686,-4.797065,0.64,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
60,b'020096233',36.731816,-4.796804,0.511,-9.999,b'4',b'VVDS_DEEP',b'-',-9,-9
61,b'020096542',36.410782,-4.798646,0.0,-9.999,b'4',b'VVDS_DEEP',b'-',-9,-9
62,b'020096589',36.334652,-4.796209,1.116,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
63,b'020096633',36.754816,-4.795918,0.383,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
64,b'020096683',36.749988,-4.795977,0.253,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
65,b'020096728',36.453415,-4.798046,0.0,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
66,b'020096748',36.500029,-4.795819,0.546,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
67,b'020096988',36.674012,-4.794389,0.802,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
68,b'020097004',36.483283,-4.794983,0.888,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
69,b'020097086',36.459279,-4.794601,0.532,-9.999,b'4',b'VVDS_DEEP',b'-',-9,-9
70,b'020097148',36.585795,-4.794289,0.703,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
71,b'020097195',36.539812,-4.79468,0.85,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
72,b'020097842',36.451174,-4.793304,1.116,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
73,b'020097856',36.725558,-4.793094,0.796,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
74,b'020097894',36.365076,-4.792678,0.639,-9.999,b'4',b'VVDS_DEEP',b'-',-9,-9
75,b'020098524',36.263565,-4.791451,0.904,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
76,b'020099036',36.419861,-4.789958,0.556,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
77,b'020099136',36.676835,-4.791358,0.0,-9.999,b'4',b'VVDS_DEEP',b'-',-9,-9
78,b'020099242',36.428839,-4.789844,2.704,-9.999,b'3',b'VVDS_DEEP',b'-',-9,-9
